blenderin;blenderout;qgisin;qgisout;unityin;unityout;terrascanin;terrascanout;infraworksin;infraworksout;rhinoin;rhinoout;revitin;revitout;leapfrogin;leapfrogout;civil3din;civil3dout;fusion360in;fusion360out;nirain;niraout;3dsmaxin;3dsmaxout;agisoftin;agisoftout;pix4din;pix4dout;twinmotionin;twinmotionout;realitycapturein;realitycaptureout;contextcapturein;contextcaptureout;cloudcomparein;cloudcompareout;meshmixerin;meshmixerout;meshlabin;meshlabout;recapin;recapout;cyclonerin;cyclonerout
ABC;BVH;BAG;BMP;FBX;FBX;BI;FBI;3DS;IMX;3DM;3DM;BMP;ACIS SAT;ADF;ASC;CAD;DWG;123DX;3MF;OBJ;;FBX;FBX;JPG;JPG;JPG;TXT;FBX;JPG;BMP;JPG;JPEG;3MX;BIN;BIN;STL;STL;PLY;PLY;CL3;E57;;
ASC;BVH;BNA;DWG;DAE;OBJ;BIN;BIN;DAE;FBX;3DMBAK;3DMBAK;DGN;ADSK;ASC;BIL;LandXML;DGN;3MF;F3D;IFC;;3DS;3DS;TIFF;TIFF;JPEG;SSK;SKP;PNG;GIF;PNG;TIFF;3SM;SBF;SBF;OBJ;OBJ;STL;STL;CLR;PTS;;
BVH;DAR;CSV;DXF;OBJ;3DS;DTE;EBN;DXF;DAE;RWS;RWS;DWF;AVI;BIL;CSV;DXF;LandXML;DXFS;F3Z;LWO;;PRJ;PRJ;PNG;PNG;TIF;TIF;C4D;MP4;ICO;XYZ;RW2;OBJ;ASC;ASC;AMF;DAE;OFF;OFF;E57;PCG;;
DAE;FBX;DXF;JPEG;DXF;DAE;EBN;LAS;FBX;OBJ;3MF;3MF;DWG;BMP;CSV;DGN;TIFF;CAD;F3D;FBX;LWS;;ABC;ABC;BMP;BMP;TIFF;LAS;OBJ;;JPEG;XYZRGB;CRW;DGN;TXT;TXT;PLY;PLY;OBJ;OBJ;FLS;RCP;;
FBX;GLTF;GEOTIFF;PDF;SKP;;LDI;LAZ;OBJ;FDGB;3DS;3DS;DXF;DGN;DAT;DM;RCP;DXF;F3Z;IAM;LXO;;AI;AI;OpenEXR;OpenEXR;AVI;LAZ;3DS;;PNG;OBJ;CR2;DAE;XYZ;XYZ;OFF;AMF;3DS;3DS;FWS;RCS;;
GLTF;OBJ;HGT;PNG;STL;;LAS;XYZ;DWG;;AMF;AMF;gbXML;DWF;DEM;DTM;RCS;;FBX;IPT;3DS;;CATPART;ASS;DNG;XML;MP4;XYZ;DAE;;TIFF;PLY;NEF;FBX;NEU;NEU;3MF;WRL;DAE;DAE;LSPROJ;FBX;;
OBJ;PDF;PDF;SHP;3DS;;LAZ;CXYZ;DXF;;AI;SAT;HTML;DWFx;DFN;DWG;TIF;;IGE;OBJ;DXF;;CATPRODUCT;DAE;PGM;TXT;WMV;PLY;DXF;;DNG;LAS;ARW;STL;PTS;PTS;MIX;SMESH;PTX;VRML;LAS;OBJ;;
OSM;PLY;SHP;SVG;MA;;PTS;XYZI;IFC;;DWG;AI;IFC;DWG;DGN;DXF;;;IGES;SKP;ZPR;;CGR;DWF;PPM;INI;MOV;GEOTIFF;IV;;WMPHOTO;ABC;3FR;I3S;LAS;LAS;;3MF;V3D;DXF;PCG;RCM;;
PLY;SHP;TIFF;TIFF;BLEND;;XYZ;GrassSites;IMX;;DXF;DWG;JPEG;DXF;DWG;FEM;;;IGS;SMT;ZTL;;DAE;DWG;MPO;DAT;DXF;KLM;KMZ;;DDS;GLB;DNG;KML;E57;E57;;;PTS;GTS;PRJ;RCS;;
SHP;STL;WCS;;CINEMA;;CXYZ;XYZdZ;RVT;;X;DXF;OBDC;FBX;DXF;GRD;;;OBJ;STEP;PLY;;DEM;DXF;SEQ;OUT;;HTML;LE;;PTX;STL;ECW;OSGB;PTX;PCD;;;APTS;U3D;PTG;GEOTIFF;;
STL;SVG;WFS;;LXO;;PXYZI;IdXYZ;RFA;;E57;DAE;PNG;gbXML;ERS;IMG;;;STE;STL;STL;;XML;FLT;XML;CHAN;;SHP;LWB;;E57;3MF;PNG;LODTREE;FLS;PLY;;;XYZ;IDTF;PTS;TIFF;;
SVG;SVG;XYZ;;IFF;;XYZXYZII;IdXYZP;DGN;;EXP;CD;RFA;gbXML;FEFLOW;MDL;;;STEP;STP;USD;;DDF;HRT;TXT;RZML;;JPG;LWM;;RCALIGN;PTX;AVI;LOD;FWS;DRC;;;GTS;X3D;PTX;;;
SVG;USD;;;STF;;TXYZI;;CITYGML;;DST;X;RFT;IFC;GDB;MSH;;;STP;;ABC;;DWG;IGS;INI;PTB;;PNG;LWO;;OUT;PARTLIST;MPG;GVW;DP;OBJ;;;TRI;;RCS;;;
TIFF ;USDA;;;CAT3D;;XYZIXYZI;;GML;;OFF;EMF;RTE;JPEG;GIF;NAM;;;;;DAE;;FLT;OBJ;DAT;ORN;;OBJ;LXO;;TXT;FBX;MP4;LAS;PCD;VTK;;;ASC;;RDS;;;
USD;USDC;;;;;TXYZIXYZI;;XML;;GFT;GFT;RVT;NWC;GRD;NEV;;;;;FBX;;HTR;PXPROJ;CSV;PRJ;;FBX;PLY;;XMP;DXF;WNV;POD;PLY;STL;;;X3D;;TXT;;;
USDA;X3D;;;;;Grass Sites;;IFC;;GTS;PM;SAT;ODBC Database;GRD;OBJ;;;;;GLTF;;IGS;PRT;OUT;PLY;;DXF;STL;;OBJ;DAE;MOV;LAZ;DRC;OFF;;;X3DV;;XYB;;;
USDC;;;;;;XYZDZ;;LANDXML;;IGES;KMZ;SKP;PNG;GXF;PDF;;;;;GLB;;IGE;NEU;RZML;E57;;PLY;WRL;;;TIFF;E57;TIFF;OBJ;FBX;;;VRML;;XYZ;;;
WRL;;;;;;IDXYZ;;RCS;;LWO;GTS;TIFF;TARGA;HGT;PNG;;;;;BLEND;;IGES;G;OBJ;PTS;;PDF;WRL97;;;WEBP;PTX;GEOTIFF;VTK;DXF;;;ALN;;ZFS;;;
X3D;;;;;;IDXYZP;;RCP;;DGN;IGES;TXT;TIFF;IMG;SHP;;;;;MA;;IPT;ASM;3DS;U3D;;OSGB;VRML;;;BMP;;XYZ;STL;SHP;;;;;ZFPRJ;;;
;;;;;;;;ADF;;FBX;LWO;;TXT;JPG;SVG;;;;;MB;;IAM;SAT;DAE;ZIP;;SLPK;TXT;;;DIB;;JPG;OFF;GEOTIFF;;;;;JPEG;;;
;;;;;;;;ASC;;SCN;UDO;;;MDB;TIFF;;;;;CSV;;JS;STL;PLY;OC3;;MP4;XYZ;;;RLE;;;FBX;TIFF;;;;;;;;
;;;;;;;;BT;;OBJ;FBX;;;MODFLOW;;;;;;TXT;;MDL;SVF;STL;CL3;;MKV;X;;;JPG;;;DXF;PV;;;;;;;;
;;;;;;;;DDF;;PDF;OBJ;;;MSH;;;;;;XML;;MODEL;USD;DXF;PDF;;AVI;UDASMITH;;;JPEG;;;SHP;PN;;;;;;;;
;;;;;;;;DEM;;PLY;CSV;;;NEV;;;;;;JPG;;SESSION;USDA;FBX;OBJ;;DGN;R16;;;JFIF;;;PDMS;SX;;;;;;;;
;;;;;;;;DTO;;ASC;X_T;;;PNG;;;;;;PNG;;EXP;USDC;U3D;DAE;;;PNG;;;EXIF;;;PDMSMAC;;;;;;;;;
;;;;;;;;GRD;;CGO_ASCII;PDF;;;SHP;;;;;;TIFF;;DLV;WRL;CTM;3DS;;;PTS;;;PNG;;;MAC;;;;;;;;;
